"Time","Stock_1","Stock_2","Stock_3","Stock_4","Stock_5","Stock_6"
"1","0.0","0.0","0.0","0.0","0.0","0.0"
"2","0.0","0.0","0.0","0.0","0.0","0.0"
"3","0.35886554260018855","1.572544209772035","-1.3658246575996333","0.6355262213144117","-1.5050832727782888","0.30397195669128685"
"4","0.7177310852003771","3.14508841954407","-2.7316493151992667","1.2710524426288234","-3.0101665455565776","0.6079439133825737"
"5","1.0765966278005656","4.717632629316105","-4.0974739727989","1.9065786639432352","-4.515249818334866","0.9119158700738605"
"6","1.4354621704007542","6.290176839088139","-5.463298630398533","2.542104885257647","-6.020333091113154","1.2158878267651474"
"7","1.7943277130009427","7.862721048860174","-6.829123287998167","3.1776311065720586","-7.525416363891444","1.5198597834564342"
"8","2.1531932556011313","9.43526525863221","-8.1949479455978","3.8131573278864703","-9.030499636669735","1.823831740147721"
"9","2.51205879820132","11.007809468404247","-9.560772603197433","4.448683549200882","-10.535582909448024","2.127803696839008"
"10","2.8709243408015084","12.580353678176284","-10.926597260797067","5.084209770515293","-12.040666182226314","2.431775653530295"
"11","3.229789883401697","14.15289788794832","-12.2924219183967","5.719735991829704","-13.545749455004604","2.7357476102215816"
"12","3.5886554260018855","15.725442097720357","-13.658246575996332","6.3552622131441145","-15.050832727782893","3.0397195669128685"
"13","3.947520968602074","17.297986307492394","-15.024071233595963","6.990788434458525","-16.555916000561183","3.3436915236041553"
"14","4.306386511202263","18.87053051726443","-16.389895891195593","7.626314655772936","-18.060999273339473","3.647663480295442"
"15","4.665252053802451","20.443074727036468","-17.755720548795225","8.261840877087348","-19.566082546117762","3.951635436986729"
"16","5.02411759640264","22.015618936808504","-19.121545206394856","8.897367098401759","-21.071165818896052","4.255607393678016"
"17","5.382983139002828","23.58816314658054","-20.487369863994488","9.53289331971617","-22.57624909167434","4.559579350369303"
"18","5.741848681603017","25.160707356352578","-21.85319452159412","10.16841954103058","-24.08133236445263","4.86355130706059"
"19","6.100714224203205","26.733251566124615","-23.21901917919375","10.803945762344991","-25.58641563723092","5.167523263751876"
"20","6.459579766803394","28.30579577589665","-24.584843836793382","11.439471983659402","-27.09149891000921","5.471495220443163"
"21","6.818445309403582","29.87833998566869","-25.950668494393014","12.074998204973813","-28.5965821827875","5.77546717713445"
"22","7.177310852003771","31.45088419544072","-27.316493151992645","12.710524426288224","-30.10166545556579","6.079439133825737"
"23","7.5361763946039595","33.023428405212755","-28.682317809592277","13.346050647602638","-31.606748728344083","6.383411090517024"
"24","7.895041937204148","34.59597261498479","-30.04814246719191","13.981576868917053","-33.11183200112237","6.687383047208311"
"25","8.253907479804337","36.16851682475682","-31.41396712479154","14.617103090231467","-34.61691527390066","6.9913550038995975"
