"Asset","","Liability",""
"Products","50.45676025497123","Equity",""
"Products","50.45676025497123","Total","6099.999999999998"
"Products","50.45676025497123","",""
"Products","50.45676025497123","",""
"Products","50.45676025497123","",""
"Products","0.465025572864534","",""
"Products","0.465025572864534","",""
"Products","0.465025572864534","",""
"Products","0.465025572864534","",""
"Products","0.465025572864534","",""
"Products","0.8461662286138298","",""
"Products","0.8461662286138298","",""
"Products","0.8461662286138298","",""
"Products","0.8461662286138298","",""
"Products","0.8461662286138298","",""
"Products","0.5112313459235038","",""
"Products","0.5112313459235038","",""
"Products","0.5112313459235038","",""
"Products","0.5112313459235038","",""
"Products","0.5112313459235038","",""
"Products","0.7082700596536626","",""
"Products","0.7082700596536626","",""
"Products","0.7082700596536626","",""
"Products","0.7082700596536626","",""
"Products","0.7082700596536626","",""
"Products","0.871780370620943","",""
"Products","0.871780370620943","",""
"Products","0.871780370620943","",""
"Products","0.871780370620943","",""
"Products","0.871780370620943","",""
"Products","0.21076158215101032","",""
"Products","0.21076158215101032","",""
"Products","0.21076158215101032","",""
"Products","0.21076158215101032","",""
"Products","0.21076158215101032","",""
"Products","0.5872049455325228","",""
"Products","0.5872049455325228","",""
"Products","0.5872049455325228","",""
"Products","0.5872049455325228","",""
"Products","0.5872049455325228","",""
"Products","0.6446860483288135","",""
"Products","0.6446860483288135","",""
"Products","0.6446860483288135","",""
"Products","0.6446860483288135","",""
"Products","0.6446860483288135","",""
"Products","0.8488788976812641","",""
"Products","0.8488788976812641","",""
"Products","0.8488788976812641","",""
"Products","0.8488788976812641","",""
"Products","0.8488788976812641","",""
"Products","9.778552785576397e-2","",""
"Products","9.778552785576397e-2","",""
"Products","9.778552785576397e-2","",""
"Products","9.778552785576397e-2","",""
"Products","9.778552785576397e-2","",""
"Products","0.6019425794589757","",""
"Products","0.6019425794589757","",""
"Products","0.6019425794589757","",""
"Products","0.6019425794589757","",""
"Products","0.6019425794589757","",""
"Products","0.858456566895538","",""
"Products","0.858456566895538","",""
"Products","0.858456566895538","",""
"Products","0.858456566895538","",""
"Products","0.858456566895538","",""
"Products","0.2995387638065891","",""
"Products","0.2995387638065891","",""
"Products","0.2995387638065891","",""
"Products","0.2995387638065891","",""
"Products","0.2995387638065891","",""
"Products","0.5408751491752886","",""
"Products","0.5408751491752886","",""
"Products","0.5408751491752886","",""
"Products","0.5408751491752886","",""
"Products","0.5408751491752886","",""
"Products","0.7650776637206351","",""
"Products","0.7650776637206351","",""
"Products","0.7650776637206351","",""
"Products","0.7650776637206351","",""
"Products","0.7650776637206351","",""
"Products","0.8650309885933964","",""
"Products","0.8650309885933964","",""
"Products","0.8650309885933964","",""
"Products","0.8650309885933964","",""
"Products","0.8650309885933964","",""
