"Time","Stock_1","Stock_2","Stock_3","Stock_4","Stock_5","Stock_6"
"1","30.184669644399516","30.565957501392564","32.0","31.54069647751227","32.0","30.82311104450178"
"2","36.9540309932793","35.878904449666116","40.83898958911956","37.97806501193497","41.00609992733395","37.658344696472234"
"3","43.72339234215907","41.19185139793967","49.67797917823911","44.415433546357676","50.0121998546679","44.49357834844269"
"4","50.49275369103885","46.50479834621323","58.51696876735867","50.85280208078038","59.01829978200185","51.328812000413144"
"5","57.262115039918626","51.817745294486784","67.35595835647823","57.29017061520308","68.0243997093358","58.1640456523836"
"6","64.0314763887984","57.13069224276034","76.19494794559779","63.727539149625784","77.03049963666975","64.99927930435406"
"7","70.80083773767817","62.4436391910339","85.03393753471735","70.16490768404849","86.0365995640037","71.83451295632452"
"8","77.57019908655793","67.75658613930746","93.87292712383692","76.60227621847119","95.04269949133764","78.66974660829497"
"9","84.3395604354377","73.06953308758102","102.71191671295648","83.03964475289389","104.04879941867159","85.50498026026543"
"10","91.10892178431747","78.38248003585458","111.55090630207604","89.4770132873166","113.05489934600554","92.34021391223588"
"11","97.87828313319724","83.69542698412815","120.38989589119561","95.9143818217393","122.06099927333949","99.17544756420634"
"12","104.64764448207701","89.00837393240171","129.22888548031517","102.351750356162","131.06709920067343","106.01068121617679"
"13","111.41700583095678","94.32132088067527","138.06787506943473","108.7891188905847","140.07319912800736","112.84591486814725"
"14","118.18636717983655","99.63426782894884","146.9068646585543","115.2264874250074","149.0792990553413","119.6811485201177"
"15","124.95572852871634","104.9472147772224","155.74585424767386","121.66385595943011","158.08539898267523","126.51638217208814"
"16","131.72508987759613","110.26016172549596","164.58484383679342","128.10122449385284","167.09149891000916","133.3516158240586"
"17","138.49445122647592","115.57310867376953","173.423833425913","134.53859302827556","176.0975988373431","140.18684947602907"
"18","145.2638125753557","120.88605562204309","182.26282301503255","140.97596156269827","185.10369876467703","147.02208312799954"
"19","152.03317392423548","126.19900257031667","191.10181260415212","147.413330097121","194.10979869201097","153.85731677997"
"20","158.80253527311527","131.51194951859023","199.94080219327168","153.8506986315437","203.1158986193449","160.69255043194048"
"21","165.57189662199505","136.82489646686378","208.77979178239124","160.28806716596642","212.12199854667884","167.52778408391094"
"22","172.34125797087484","142.13784341513733","217.6187813715108","166.72543570038914","221.12809847401277","174.3630177358814"
"23","179.11061931975462","147.45079036341087","226.45777096063037","173.16280423481186","230.1341984013467","181.19825138785188"
"24","185.8799806686344","152.76373731168442","235.29676054974993","179.60017276923458","239.14029832868064","188.03348503982235"
"25","192.6493420175142","158.07668425995797","244.1357501388695","186.0375413036573","248.14639825601458","194.86871869179282"
"26","199.41870336639397","163.38963120823152","252.9747397279891","192.47490983808","257.1524981833485","201.7039523437633"
"27","206.18806471527375","168.70257815650507","261.81372931710865","198.91227837250273","266.1585981106824","208.53918599573376"
"28","212.95742606415354","174.01552510477862","270.6527189062282","205.34964690692544","275.16469803801635","215.37441964770423"
"29","219.72678741303332","179.32847205305217","279.4917084953477","211.78701544134816","284.1707979653503","222.2096532996747"
"30","226.4961487619131","184.64141900132572","288.33069808446726","218.22438397577088","293.1768978926842","229.04488695164517"
"31","233.2655101107929","189.95436594959926","297.1696876735868","224.6617525101936","302.18299782001816","235.88012060361564"
"32","240.03487145967267","195.2673128978728","306.0086772627063","231.0991210446163","311.1890977473521","242.7153542555861"
"33","246.80423280855246","200.58025984614636","314.84766685182586","237.53648957903903","320.195197674686","249.55058790755658"
"34","253.57359415743224","205.8932067944199","323.6866564409454","243.97385811346174","329.20129760201996","256.385821559527"
"35","260.342955506312","211.20615374269346","332.52564603006493","250.41122664788446","338.2073975293539","263.22105521149746"
"36","267.1123168551918","216.519100690967","341.36463561918447","256.8485951823072","347.21349745668783","270.0562888634679"
"37","273.8816782040716","221.83204763924056","350.203625208304","263.2859637167299","356.21959738402177","276.89152251543834"
"38","280.6510395529514","227.1449945875141","359.04261479742354","269.7233322511526","365.2256973113557","283.7267561674088"
"39","287.42040090183116","232.45794153578765","367.8816043865431","276.16070078557533","374.23179723868964","290.5619898193792"
"40","294.18976225071094","237.7708884840612","376.7205939756626","282.59806931999805","383.2378971660236","297.39722347134966"
"41","300.9591235995907","243.08383543233475","385.55958356478214","289.03543785442076","392.2439970933575","304.2324571233201"
"42","307.7284849484705","248.3967823806083","394.3985731539017","295.4728063888435","401.25009702069144","311.06769077529054"
"43","314.4978462973503","253.70972932888188","403.2375627430212","301.9101749232662","410.2561969480254","317.902924427261"
"44","321.2672076462301","259.0226762771554","412.07655233214075","308.3475434576889","419.2622968753593","324.7381580792314"
"45","328.03656899510986","264.335623225429","420.9155419212603","314.78491199211163","428.26839680269325","331.57339173120187"
"46","334.80593034398964","269.6485701737026","429.7545315103798","321.22228052653435","437.2744967300272","338.4086253831723"
"47","341.5752916928694","274.96151712197616","438.59352109949936","327.65964906095707","446.2805966573611","345.24385903514275"
"48","348.3446530417492","280.27446407024973","447.4325106886189","334.0970175953798","455.28669658469505","352.0790926871132"
"49","355.114014390629","285.5874110185233","456.2715002777384","340.5343861298025","464.292796512029","358.91432633908363"
"50","361.8833757395088","290.9003579667969","465.11048986685796","346.9717546642252","473.2988964393629","365.74955999105407"
"51","368.65273708838856","296.21330491507047","473.9494794559775","353.40912319864793","482.30499636669686","372.5847936430245"
"52","375.42209843726835","301.52625186334404","482.78846904509703","359.84649173307065","491.3110962940308","379.42002729499495"
"53","382.19145978614813","306.8391988116176","491.62745863421657","366.28386026749337","500.3171962213647","386.2552609469654"
"54","388.9608211350279","312.1521457598912","500.4664482233361","372.7212288019161","509.32329614869866","393.09049459893583"
"55","395.7301824839077","317.4650927081648","509.30543781245564","379.1585973363388","518.3293960760326","399.9257282509063"
"56","402.4995438327875","322.77803965643835","518.1444274015753","385.5959658707615","527.3354960033665","406.7609619028767"
"57","409.26890518166726","328.09098660471193","526.9834169906949","392.03333440518423","536.3415959307005","413.59619555484716"
"58","416.03826653054705","333.4039335529855","535.8224065798145","398.47070293960695","545.3476958580344","420.4314292068176"
"59","422.80762787942683","338.7168805012591","544.6613961689341","404.90807147402967","554.3537957853683","427.26666285878804"
"60","429.5769892283066","344.02982744953266","553.5003857580537","411.3454400084524","563.3598957127023","434.1018965107585"
"61","436.3463505771864","349.34277439780624","562.3393753471732","417.7828085428751","572.3659956400362","440.9371301627289"
