"Time","Input_1","Input_2","Input_3","Input_4","Input_5","Input_6","Input_7","Input_8","Input_9","Input_10"
"1","0.0","0.0","0.0","7.450365054397679","0.0","0.0","8.333441199270778","6.282381300048173","3.8119867947918187","0.0"
"2","0.0","0.0","0.0","25.873599359811724","0.0","0.0","26.39486148728574","25.230780184369152","24.03506324798317","0.0"
"3","0.0","0.0","0.0","27.606333146234185","0.0","0.0","25.590665764886104","26.35334267583638","27.051093051609325","0.0"
"4","0.0","0.0","0.0","30.230444898953913","2.483196560970889","0.0","21.855432051184184","26.38065270862966","28.941842054677604","0.0"
"5","9.182508617797055","0.0","2.1117869108645695","41.239465215709984","12.127727269878724","0.0","26.028038097668947","31.64696864355825","40.677990506834654","0.0"
"6","14.492347356819824","0.0","11.011597064192149","51.71189065881507","14.767387687677818","0.0","27.559767999314726","39.0722506354297","45.177534958771616","0.0"
"7","17.047148405355966","7.6249775009201075","13.927958164461245","36.70043802845158","18.696198924882978","0.0","27.689762598593823","37.778735333706045","31.521570503464805","0.0"
"8","15.697931386670097","8.7814421737811","17.79809339405375","30.694096903950793","13.42666549032141","6.540783275600061","31.551051942767586","29.67902319317246","29.515728135912372","0.0"
"9","11.468058525383835","9.845990212454534","11.392800441261452","31.794718071050525","10.899572333734756","6.495363342758392","28.459738593606367","30.83974306127752","29.236518879547674","0.0"
"10","13.621119494208898","8.781679275985004","9.894179775275427","32.54105613390371","12.168865728117073","6.655147001561203","28.802112607779794","30.60585159276943","29.73982732172454","0.0"
"11","14.166201825958806","8.373654453430493","11.289646945282758","33.81183248929421","12.700678540248408","7.3286834157510325","28.810054953370567","30.971323761377988","30.151585981146155","0.0"
"12","14.331255887867282","8.503366539884096","11.54712021803499","34.345429948059824","13.696625236170691","7.493132947893137","29.114558553309962","31.15436221434142","30.86094029857594","0.0"
"13","14.238890893338123","9.119080115064438","11.655211458836314","34.294467820439195","14.444730921905274","7.4711177843213985","29.636971076658828","31.14620516358308","30.916439945027143","0.0"
"14","13.719513700306504","9.090503738329257","11.291930322219189","34.39474995316131","14.006851056600901","6.451259190648207","30.137361534381565","31.167011553038943","31.3420179273796","0.0"
"15","14.171891219146874","9.159691526098666","11.725421889612655","34.692793519334394","14.537028633725154","7.417652540799275","29.821930040195113","31.332104099612994","32.05462351272579","0.0"
