"Time","Stock_1","Stock_2","Stock_3","Stock_4","Stock_5","Stock_6","Stock_7","Stock_8","Stock_9","Stock_10"
"1","96.35134240326695","98.65435622207372","95.96871711450198","65.87377494302584","91.47081880950421","110.0","66.32299530152531","64.55069441394586","62.631885599860766","0.0"
"2","82.70268480653391","87.30871244414743","81.93743422900397","66.93270172452478","72.94163761900842","110.0","68.29544629351935","65.33695655368928","62.37279384250833","0.0"
"3","65.42299564351529","73.15865042304779","67.51775575138399","69.01583286558547","52.73344473316203","108.16279413797032","67.26559803865158","66.10009086017152","67.62773262902331","0.0"
"4","39.43418779970496","56.58434353504275","49.244388627940054","75.57611224738478","29.82617148277006","95.96915250072597","57.39357046996038","66.4303249810535","72.80796507810065","0.0"
"5","31.650547674892245","39.96957885199619","27.311035946677265","103.09866303927497","30.319318174696807","76.56257360187766","65.07009524417236","79.37328631662936","101.95589479336063","0.0"
"6","36.23086839204956","22.75369779351685","27.52899266048036","131.00907030587595","36.91846921919454","54.69767614266847","68.89941999828682","97.96636558738176","118.13743795305037","0.0"
"7","42.70581539263294","20.74048474839678","34.819895411153105","121.65322907275933","46.75028709206981","32.534118310059185","69.22440649648456","96.65636499776707","109.78333866031318","0.0"
"8","42.16621502274292","21.953605434452754","44.8308174414011","119.43727027179982","43.44475660420926","29.07361046957254","78.87762985691893","96.03597599836631","107.88405789073951","0.0"
"9","42.48756708719532","24.70235895216575","40.94702229026375","116.96028747408147","42.64341481123017","28.76671792550678","76.3071297690938","94.86453959315891","105.88011940634111","0.0"
"10","42.35444062532505","24.269469677075886","40.34705353864245","114.9833671242625","42.092137660810245","28.51020984950609","76.43408206180118","93.9250083608586","104.04619997659383","0.0"
"11","42.63296090936682","24.409867803255995","39.89727042258545","113.41619406988535","41.780735991869015","28.47468579893763","76.51406278200486","93.10649569472068","102.51016464289091","0.0"
"12","42.47829235894331","24.238175871440166","39.74251432681433","112.46979286712633","41.62091707139856","28.050189712444066","76.83606180046853","92.48944484275937","101.16488276356031","0.0"
"13","41.719952280745964","24.345823937585404","39.48952213058831","111.14838254366569","41.54452063286068","27.12975059804274","77.3993370931253","91.73280719514459","99.72159105745648","0.0"
"14","39.65723454266738","24.189585691552516","38.05594797101475","110.07230793988812","40.22387815919553","23.615029798821226","77.79751571434373","90.99748256268285","98.60706099763274","0.0"
"15","38.897742380251835","24.2122700973742","36.53744225821032","110.04577121140645","40.330680241862396","22.416482854569658","77.46403257887175","90.71886822333703","98.38907897919951","0.0"
"16","38.6002860078584","23.884013547364955","36.48717332678734","107.53105846365841","40.58115144571141","22.645407480909604","75.8761037017552","90.61823309734358","95.77467945090375","0.0"
"17","38.62769704688127","23.04935720967662","36.553335670212604","95.69485349321171","40.68858131401855","22.313213081903644","76.54666046657812","86.94652196831997","84.04585411315284","0.0"
"18","38.303494067857095","22.990085564846","35.94340749239872","88.07817946920773","38.806955570688245","21.590440199714465","77.0487748709029","77.56169110758606","77.8671920007593","0.0"
"19","37.256377685392685","23.936533612628665","32.321660685730606","86.99171177482307","38.36159862275722","21.42169157544842","77.18652296884015","77.47196835810486","80.3986831839788","0.0"
"20","35.89628398490833","24.212331243369714","31.58738872169439","88.95095217418294","37.74579367792527","21.495808527382803","76.25332108793741","79.06498997598848","83.85841792083163","0.0"
"21","37.96949634501075","25.85864237604551","32.86085430318838","91.9430596852672","38.280224812997496","21.68780230267437","75.25311662605075","81.05396989770239","86.83004983259302","0.0"
"22","40.212206966096495","27.91132464254891","32.29353554480436","91.66962708893529","37.20425340937793","21.84496733971908","77.2589456228805","81.27369012408957","87.98499622435043","0.0"
"23","39.42164150624385","28.449322811570802","33.861814943893684","89.07422324513784","36.73983971438269","23.09580241504772","76.15390114965001","78.69787103404623","86.34755592622616","0.0"
"24","44.31543066701606","28.410801131671867","37.71119775137224","92.9992193586234","41.43110988125848","28.503031129991417","77.66408419964603","81.95768891705819","82.33549720305943","0.0"
"25","55.496687439577514","31.41955591835864","49.51681719662314","112.24251336650174","55.628084554761685","41.74980375724455","90.31187856807956","98.58445001436354","93.83245608448226","0.0"
