"Time","Profit_1","Profit_2","Profit_3","Profit_4","Profit_5","Profit_6","Profit_7","Profit_8","Profit_9","Profit_10"
"1","13.648657596733047","11.34564377792628","14.031282885498014","61.75700227710041","18.529181190495784","0.0","64.51060769665165","60.29441685428829","55.88320772130652","-300.0"
"2","13.648657596733049","11.34564377792628","14.031282885498014","60.16916913930161","18.529181190495784","0.0","64.01470272622029","58.69234327348212","53.94784189057842","-294.37882248023556"
"3","17.279689163018617","14.150062021099643","14.419678477619978","57.67060314375647","20.20819288584639","1.8372058620296814","58.502160853327176","53.88117245112964","51.90666903903407","-289.85543389686165"
"4","25.988807843810342","16.574306888005037","18.273367123443933","45.56392359924931","28.978786852025255","12.193641637244351","42.4588640565277","44.53732202158769","47.16772523413076","-281.7367452560244"
"5","28.57801638223284","16.614764683046552","26.953708309156365","40.967951567825445","29.159625155976435","19.406578898848313","34.385019138465104","38.02669583607894","38.06297086283799","-272.155330834468"
"6","28.238523929158706","17.215881058479336","25.959936997395623","58.73312285209112","29.50769471050445","21.864897459209185","39.981618520774056","41.549845400939695","53.14410915124532","-316.1956300797975"
"7","32.12940751861714","20.42433948351647","25.82006256324357","53.405640898985155","35.62598442616709","22.163557832609282","40.42972213833287","54.843084383053586","47.968605371701486","-332.81040461622666"
"8","32.0329744710522","19.990383475555117","32.30052420370558","42.13187528014778","26.570984676373396","19.55365747257677","42.51729913044218","41.478759447425105","49.83602964078847","-306.41248779806665"
"9","18.953038683440603","21.025188200913632","29.671208638319037","55.91646547284813","17.79330166605487","16.288289539705247","47.98719268336569","50.16535211928091","48.0187030030003","-305.81874000692846"
"10","26.775596680508325","21.63696593919742","19.45182169557319","53.86896906496784","22.69429673747179","16.631041829353734","44.25419704650638","47.015899613513426","48.30761642429903","-300.6364050313912"
"11","25.47214331074525","20.078469519651815","21.565877790370614","54.238346343279375","21.31490742077949","18.06724805767195","43.45550619126573","48.15857788899141","47.64892347724437","-300.0"
"12","24.225824255456672","19.498811719782488","20.698862337854223","53.49528070601164","23.083709776322532","18.860836913353612","43.64317538313488","47.842495013381445","48.651003894702484","-300.0"
"13","24.64993962457078","19.35202464947968","18.772897071453208","53.29932215987214","24.018296246935464","19.302613137897527","44.331273661166186","47.86925419032653","48.40437925829848","-300.0"
"14","25.03720573126123","17.95803393967587","18.96970000962313","53.54270260752915","23.530797746941083","18.794086093666966","45.08806060683398","47.96441951993448","49.11499374453411","-300.0"
"15","25.270454075045013","16.153479947389954","20.936778577871756","52.934509082651445","24.363251698905003","18.584645114564225","44.64879374452612","47.84038650149111","49.267701257555345","-300.0"
"16","24.44597036566614","15.236047916587077","20.933522422530267","53.74021122537046","23.568008318474305","19.633363327694187","46.24297929428022","47.75457361846182","48.44532351093554","-300.0"
"17","23.746737566067026","15.171715252613236","19.033773383071583","55.28654896311663","22.988135426502975","17.618986631405836","47.128061284656354","47.07481254593558","51.495772188353186","-299.5445432417224"
"18","20.044593654659657","15.576800688875972","17.698735785291387","60.256865609985006","21.364691451675583","13.937962345930458","45.30934852528357","49.27119948058207","56.99525921599387","-300.4554567582776"
"19","19.947823323377026","15.068510367314435","20.069865578522112","56.964080548991774","24.34311619384094","13.492346579538378","44.678404976535646","54.083068563745584","48.32612443616125","-296.97334056802714"
"20","23.58837676061038","15.51975414397445","23.323521422722855","53.10917198934352","24.625718861590745","14.48586069088432","45.97628869087842","46.720248329915734","47.39256673530988","-294.7415076252303"
"21","21.94977414888652","14.843384616720094","20.102215779700686","54.05487270902214","25.31099804756071","14.067976305504782","46.01174611271504","47.46291347451768","49.473152535160935","-293.27703372978857"
"22","22.561332773390845","15.262106056501606","20.822673679470867","54.80980462156293","24.82913487239859","13.032092217003756","43.897660604740686","47.46314362234449","50.58750687222596","-293.2654553196397"
"23","22.74974696378837","16.70144939630847","18.285547290758604","53.066561389201674","22.92396453375281","11.927470371229528","45.563253841036186","46.19362579423676","52.06298316630625","-289.4746027466186"
"24","20.301482527964332","17.09586249250848","18.493369545931415","50.0146824897295","20.959259145980234","10.862372201098115","43.23510663940574","43.72678913800141","51.067586881116846","-275.7565110617361"
"25","22.310785180123638","16.654308059834275","18.35578625725126","48.62030389821782","21.32834746861838","12.118460008181177","42.330355019516915","43.85924624303584","45.02086597031854","-270.59845810509785"
"26","25.088201838973085","16.83096405522316","22.7642137794721","53.27711172013138","25.757765869898382","17.160432143629908","46.14455072371494","49.51515733406487","47.60239861025063","-304.1407960753585"
