"Time","Input_1","Input_2","Input_3","Input_4","Input_5","Input_6","Input_7","Input_8","Input_9","Input_10"
"1","0.0","0.0","0.0","8.041391098154769","0.0","0.0","8.92446724302787","6.873407343805264","4.403012838548907","0.0"
"2","0.0","0.0","0.0","26.024696312868585","0.0","0.0","26.484097549691544","25.381525891980363","24.5986523297437","0.0"
"3","0.0","0.0","0.0","27.331272569049123","0.0","0.0","25.5616282707863","26.95912787206951","27.664197516098373","0.0"
"4","0.0","0.0","0.0","30.450226399320606","5.0296262531855405","0.0","23.078139942184887","25.26201366696459","28.558399519427905","0.0"
"5","13.383454929333245","0.0","5.48500151810088","43.37170246042661","14.925433465791716","0.0","25.21790624422566","31.400662032659945","41.3249925856976","0.0"
"6","16.349731150733955","0.0","14.447798607610023","55.13483886070788","15.113604094473503","0.0","28.945477153915895","40.22182177170565","50.83542664461969","0.0"
"7","17.60499714870306","9.609603287971684","13.778436053379966","42.395578600788426","15.340114182666987","6.68808125656096","28.568851854004564","45.29987740332455","32.02886837963412","0.0"
"8","14.814264020183556","10.109043153448823","12.18514395115687","31.744642014404164","12.817479430809653","7.865457467969211","28.504669528313073","30.10800363485273","30.049813588122056","0.0"
"9","12.34665242397013","8.51146231270789","11.391771289752485","31.187930046583308","11.947251156570136","6.251537861460358","28.34318994518071","30.2589677319574","28.842186810764073","0.0"
"10","13.538110734769859","8.654201410926651","11.311822448270267","31.907296373567018","12.102206400823029","6.244999886057342","29.33453073318423","30.27182365154081","29.430418603930818","0.0"
"11","14.237517076531788","8.762548407345408","11.508068800889896","33.43747944520734","13.072532129993828","7.152501064462215","29.386190783849223","30.720217920699472","30.045564288124243","0.0"
"12","13.64252131801012","8.25472060046377","11.249028069420325","33.40105617771016","13.521883096689853","6.776427303429287","29.400996175790922","30.682471223055202","29.965251263954993","0.0"
"13","13.026293845158483","8.967110123822058","11.16753579130932","32.97200343013553","13.853514735413818","6.376478178709564","30.383505910364445","30.540621031993297","29.820447866484386","0.0"
