"Time","Stock_1","Stock_2","Stock_3","Stock_4","Stock_5","Stock_6","Stock_7","Stock_8","Stock_9","Stock_10"
"1","96.35134240326695","98.65435622207372","95.96871711450198","65.37130013104058","91.47081880950421","110.0","65.79215926219624","64.04895345346213","62.157579821120784","0.0"
"2","82.70268480653391","87.30871244414745","81.93743422900397","64.59390708162094","72.94163761900843","110.0","65.97257068699886","62.99954272171169","59.6455509392042","0.0"
"3","66.12759730035651","73.50793699925562","67.8011366172503","64.66231427774906","53.12777136995681","108.9221442543444","64.8580587486952","62.846002678979005","62.2668986321837","0.0"
"4","40.72443315703657","56.88298728170146","49.48668228958753","68.55644888863287","27.07943402037566","97.45457478417848","49.753894823443545","61.253194974692065","66.89619730597073","0.0"
"5","27.797275222664503","40.243070468271426","23.929138565713895","90.36085982886385","23.676768731613098","79.14530446150238","61.09218791649741","74.50114374036119","89.5541098856654","0.0"
"6","25.859073588147716","23.119920997056887","19.33730523325963","112.39790990156925","27.469608497748226","57.488569194494666","61.81498043052921","100.80574265847639","124.31118336004027","0.0"
"7","28.772954693402774","19.480150162240694","21.96245124445387","111.36868198138033","37.15362172744983","34.02302192659186","61.12353619637042","83.61318705575547","99.75712808219512","0.0"
"8","37.98569039883381","17.531623087705263","32.07243722993124","103.08833361058073","50.61276112702043","25.31310177871128","62.02919867537126","90.49150008195525","108.0469257516684","0.0"
"9","63.96358165368851","20.70323490844498","59.96445536893663","125.73523840766487","52.01228689979332","25.6508628505555","93.03500264152545","106.1383702326614","113.17401507800157","0.0"
"10","126.26609070183801","27.291951397710992","94.98653514742882","124.66966364659665","64.00832857399156","26.523967475625852","101.1532277678499","103.79678195400389","111.47967066382611","0.0"
"11","91.89530769041625","39.4219723035878","81.43114011539693","123.28069778934567","62.99531700637617","27.20235865443482","117.38922872213027","102.95890919744602","109.63763832337862","0.0"
"12","94.4629883510743","53.558071623447745","82.9726752392292","123.29977936580606","63.197609759037704","27.649564454731937","110.45779944842396","102.85897951813882","109.66296778884484","0.0"
"13","93.78060423189137","43.33317017450278","82.67299866362208","122.64221387804913","63.16022176988163","27.27988796141241","110.46670254039857","102.376087558487","109.30540133801306","0.0"
"14","92.96050093117789","43.30534324046104","82.27771374348457","121.82717296455877","62.692364089853555","24.957566654575405","110.36727030213181","101.6405538117616","109.00941179093721","0.0"
"15","92.89429757567873","43.15914299358482","82.26510924346684","121.708983593668","62.572004881674616","23.603801662888408","110.14075439129465","101.3624197366455","108.87199750814189","0.0"
"16","92.97003084299023","43.20591415155187","82.30745200230831","120.26427306076442","62.49470952519293","23.414715235766245","109.75278968863584","101.24160995499844","106.6485063209024","0.0"
"17","93.07549477800038","43.21921046683762","82.36564888205186","112.4033901839123","62.48247277201104","23.39289458890769","109.72034706112737","98.09805053964453","97.88631213422093","0.0"
