"Time","Demand_1","Demand_2","Demand_3","Demand_4","Demand_5","Demand_6","Demand_7","Demand_8","Demand_9","Demand_10"
"1","14.934013037665807","11.733296815803827","14.719926011582492","65.05652275402014","18.936530643074363","0.0","64.51060769665165","63.599148790958495","61.83437166079937","0.0"
"2","17.381235044972513","14.072716284094456","17.079898322936852","67.61229620365188","21.27166020726341","2.326174307353348","66.83678200400499","66.15379207439015","65.05479197405607","0.0"
"3","19.07944453366023","14.688673196089248","15.338624291855693","73.26628252244342","20.718489633065442","1.911347100175964","64.97305882846206","69.08949528130256","70.73089472662463","0.0"
"4","27.97508327961507","17.135973448906775","19.158022118110992","87.14467702311441","29.478847834940808","12.257367515748713","64.51060769665165","74.01196234719026","85.4553874047802","0.0"
"5","31.54262772176552","17.25872614335978","27.98683164651947","105.9475027412803","31.67858737091045","19.673259970618137","64.51060769665165","81.69699156827807","100.98073305531499","0.0"
"6","34.35164635749237","17.892862371440167","30.08660275516692","121.85429193549857","35.45041140388908","22.30160604943229","72.0930855641017","95.6635220107933","114.01798730159501","0.0"
"7","39.99861059544548","21.1294344027284","34.8718591324903","105.5165886325091","41.41423716032395","22.70991059254562","74.4670896058798","98.03278477388903","95.49497137823768","0.0"
"8","40.36572671094636","22.22543937180363","39.42181641655233","82.4919958633434","36.384538002964305","20.03354311610457","72.1612149422748","76.90705952636561","82.35366036571465","0.0"
"9","31.022314772501325","22.97416464512309","32.04039479907284","84.97321786491524","28.84524582185388","16.776995049411948","72.62533608409618","79.99064816854855","81.36019569769957","0.0"
"10","35.74292735463451","22.111007536621255","27.044236384689953","86.00652734143048","31.272153892335105","17.05108550397589","71.8487426571139","79.20166879369327","82.00592628547626","0.0"
"11","36.80038296515434","21.16528795974279","29.551871843089494","88.68622578092183","32.34571980321121","18.614763161904094","71.99920124421162","79.90372675358009","82.47381312542343","0.0"
"12","37.641002400062604","21.661923645596154","29.879078256075353","89.22987373156221","34.60682300293672","19.391815992167473","72.47245385487588","80.11857881203916","83.68226465180287","0.0"
"13","37.946416972680325","22.78984747650548","30.1873880241382","89.36226246607623","36.3962874132786","19.792320077027647","73.50446385692997","80.1492925539997","83.72055356566294","0.0"
"14","37.92613209607331","23.035318767523936","30.46086341434365","89.22760109444366","36.545950123363966","19.854457939288984","74.95135551745922","80.09586180080996","84.07256688379786","0.0"
"15","37.287672697179","23.00479753121919","31.463851685082247","88.75176944540684","36.35888146603206","19.780701226342693","74.84775800539353","79.9525693409525","84.61766749907684","0.0"
"16","37.886842584596295","22.974671330169343","31.778803970106495","90.43658699508373","36.748004606345376","21.300227220928083","75.75464883440488","80.25392642096097","84.83597803184324","0.0"
"17","37.82836442495177","22.957146383796008","31.24339596444151","90.54657945869086","36.43233591356134","20.982150279264715","76.38013645327499","79.91830809261228","85.71190032906587","0.0"
"18","35.046069984488874","22.924552717631954","29.751773722145565","86.98387023132305","34.60862346720294","17.26568505042804","76.41597391259054","78.75888241658882","83.07006978764974","0.0"
"19","34.06826474617618","23.70519420428864","31.009357499981796","85.90436024374836","35.36950361779529","17.59182146602533","75.01794794104454","78.48718635221825","80.68375242261736","0.0"
"20","36.94736194963229","25.430856123399284","32.27942109650801","89.40961630196512","37.1160527552871","20.514888093959353","76.06103432700964","80.06626693984532","86.36931794430703","0.0"
"21","38.18224858773621","27.138588551718197","34.21623614207237","94.01235472020745","38.55444535396179","21.996502715479433","77.529568856868","83.46406467424626","90.78239924110463","0.0"
"22","43.09525345969458","29.793450474623704","37.13770166870072","98.81689847007736","40.86984416187185","24.3788567773726","80.07138733981509","87.26561920853042","92.70373867427476","0.0"
"23","48.21446291993246","31.48278127876228","41.13895397134934","103.41425684683583","45.22100372137073","30.34813218502885","85.6991167356244","91.24936138428511","92.78437394719194","0.0"
"24","55.00505313626658","31.28547560164498","47.48448699184369","112.46284986885217","54.82908486764705","40.683229999125196","90.53831021753722","98.75468655474228","93.9159034740531","0.0"
"25","68.09490669236388","32.495532390723355","56.934592075872736","129.59682486296322","69.82390777319358","55.70522990592801","100.8592270752082","113.13784118807968","103.34012433951932","0.0"
"26","83.48172179054595","38.53830037796632","67.39742821712454","149.90206521799016","84.9598876431451","70.89861718869857","113.58506347722506","128.9103720058571","122.51743625583855","0.0"
"27","87.59112566609107","46.62547281587684","67.087278191517","150.7382152609967","83.13013404915492","69.19996716196916","115.13215146021207","126.44505819802237","132.87244534936295","0.0"
"28","44.81065149307507","59.06257407561861","36.92701494222313","101.18230781352393","37.15442989653759","12.438341720735005","84.08200381379005","89.8011424810476","108.22827704791132","0.0"
"29","43.62229010422341","50.52512111261274","38.12801029544364","98.26394002171035","43.930059407477415","26.093534985060426","80.1488270227544","87.23465476042117","88.6867587169408","0.0"
"30","44.72665135939117","15.325498694779268","36.560773528283654","96.31919242815418","41.39685736822406","24.733049710627114","79.20161846936635","85.96058019749931","90.65400042167451","0.0"
"31","44.34943441173192","26.3570531025145","35.08228484873421","95.09145481052875","39.489361939767434","23.8943675125942","77.48480103881752","85.18433317006509","89.10865316183961","0.0"
"32","44.02359723726848","27.234934291796943","35.28063045088641","95.22033112681393","39.97131207914391","23.812405029015263","77.831994633128","85.23949837568506","89.39182275374915","0.0"
"33","44.21754861683933","27.34901824525941","35.49987843316057","95.47149207171637","40.20077616137311","24.082457237969873","78.02788513425784","85.37205175911267","89.5826936100703","0.0"
"34","44.41095313646614","27.49066177104425","35.64507981658688","95.7337660306932","40.39707875217357","24.280650053380008","78.1958187349924","85.56135829863527","89.77594696226402","0.0"
"35","44.49086927927685","27.52821429705405","35.69889924242091","95.84107827265092","40.45310238639059","24.357642454223438","78.25304189675774","85.62775333221998","89.84292837985421","0.0"
