"Time","Production_1","Production_2","Production_3","Production_4","Production_5","Production_6","Production_7","Production_8","Production_9","Production_10"
"1","0.0","0.0","0.0","18.677248206663492","0.0","0.0","20.884938568846238","15.757288820789725","9.58130255764884","0.0"
"2","0.0","0.0","0.0","64.69702060437757","0.0","0.0","65.99373921714168","63.08993687005599","60.13242449206928","0.0"
"3","0.0","0.0","0.0","68.99306733762135","0.0","0.0","63.96717988471184","65.93322136731149","67.67657938839008","0.0"
"4","0.0","0.0","0.0","75.60492441014433","6.430983157950635","0.0","54.73438311414329","65.8726582971274","72.34239677198599","0.0"
"5","23.32841042209082","0.0","5.572690705970668","103.31240011869372","30.52248834141367","0.0","65.01519858385736","79.1192265754738","101.80643270490857","0.0"
"6","36.58610362603142","0.0","27.79518337503943","129.62659450482394","37.15521243850305","0.0","69.37350822572263","98.40587733562833","113.48901950940585","0.0"
"7","42.16276902241207","19.21781181849489","35.204722929819816","92.20346313674372","46.13307477707372","0.0","69.61295420997803","94.41285020356182","78.83950164592743","0.0"
"8","38.645898713305776","22.082297491131815","43.136603597117116","76.76349027114203","33.003190224434476","16.959549411721426","77.86204535166881","74.14198465083288","73.81755444944444","0.0"
"9","28.984869070834414","24.394863033073275","27.706221191740937","79.34136984750106","27.619566252413755","16.156070037664442","70.68421146550713","76.94904986012665","73.02087686019387","0.0"
"10","33.946721070291034","21.652287860225275","25.413980083175552","81.1120689377731","30.37805080017109","16.480464543597293","72.0441662825996","76.43601781448163","74.2451603673782","0.0"
"11","35.47139424188477","21.123758519353782","28.29364971609973","84.51153830996346","31.729616472472223","18.33016554177146","72.149301742125","77.39226358750982","75.33753035903398","0.0"
"12","35.78378448727929","21.258554555055696","28.853176044446087","85.80204103921173","34.13756428864641","18.679472422976048","72.8305654314284","77.86736999469451","77.05292472442429","0.0"
"13","35.488461081101406","22.73016050056451","29.092791838388152","85.63121058532086","36.0810970419453","18.585956190887543","74.11188579120069","77.82103632399716","77.20281927245419","0.0"
"14","34.08910330666075","22.7103408134686","28.068795270288007","85.88986064367283","34.87470380521344","15.98872880311734","75.39482314165133","77.86165016766385","78.25975769942127","0.0"
"15","35.2755889179737","22.89346504306037","29.10736243176364","86.66281578045448","36.31523736462715","18.44057833006684","74.54092481989379","78.28387449952469","80.11977019831325","0.0"
"16","36.61039322078035","22.486232110287673","31.282345426450817","85.77470203858672","36.87895723691266","21.483055167688384","74.25196870532577","78.84973663098984","77.64646745413923","0.0"
"17","36.97953322261758","21.939650558853828","30.849474976923638","75.92484134649885","36.41993035745879","20.568977858364512","76.49303027084392","74.6386582478417","68.5647269479361","0.0"
"18","33.56502706392871","22.798509098460674","28.559046672948398","77.72325152995154","32.58562631670566","16.381869450936254","77.03633190263099","67.49915941528579","74.05742484986506","0.0"
